Sender,Content,ContentCategories,MyPhysicalReaction,TextReactionofReciever,Day,TimeSent,Song
Isabel,Tik Tok Influencers,Actors,Laughter,HAHA,1/28/21,2:27 AM,"Justin Timberlake ""Sexy Back"""
Isabel,GameStop/Hedgefund Drama,Miscellaneous,Laughter,HAHA,1/28/21,2:28 AM,I'm Blue song
Isabel,GameStop/Hedgefund Drama,Miscellaneous,Laughter,HAHA,1/28/21,2:28 AM,original sound
Isabel,GameStop/Hedgefund Drama,Miscellaneous,Laughter,HAHA,1/28/21,2:33 AM,original sound
Ayashe,Miscellaneous ,Miscellaneous,Laughter,HAHA,1/28/21,9:09 AM,original sound
Ayashe,Tik Tok Influencers,Actors,Laughter,HAHA,1/28/21,9:13 AM,"I am not gay, jk I am gay"
Ayashe,Tom Holland,Actors,Laughter,HAHA,1/28/21,9:19 AM,wanda vision theme song
Ayashe,Trisha Paytas,Actors,Laughter,HAHA,1/28/21,9:22 AM,"Hold her hand in public, but her..."
Ayashe,Dylan O'Brien,Actors,Smile,Heart,1/28/21,12:33 PM,Maze Runner theme
Ayashe,Tom Holland,Actors,Laughter,HAHA,1/28/21,12:34 PM,What? You fuckers.. you fuckers.. angry devil voice
Ayashe,One Direction,Music,Laughter,HAHA,1/28/21,12:36 PM,original sound
Ayashe,Riverdale,TV Shows,Laughter,HAHA,1/28/21,12:41 PM,original sound
Isabel,GameStop/Hedgefund Drama,Miscellaneous,Laughter,HAHA,1/28/21,2:30 PM,say it with me now pimp pimp lane lane
Isabel,Harry Potter,Movies,Laughter,Thumbs Down,1/28/21,2:41 PM,"No guidance, remix"
Isabel,One Direction,Music,Sadness,NA,1/28/21,2:48 PM,"What is this hunny, and they had a white refrigerator "
Isabel,Olivia/Sabrina/Josh Drama,Actors,Annoyance,NA,1/28/21,4:47 PM,I'll die for it screaming sound
Ayashe,Olivia/Sabrina/Josh Drama,Actors,Annoyance,HAHA,1/28/21,4:48 PM,Skin sabrina carpenter
Ayashe,Avan Jogia,Actors,Laughter,HAHA,1/28/21,5:01 PM,original sound
Isabel,Tik Tok Influencers,Actors,Laughter,HAHA,1/28/21,8:54 PM,original sound
Isabel,Gilmore Girls,TV Shows,Smile,Heart,1/28/21,8:55 PM,original sound
Ayashe,One Direction,Music,Laughter,HAHA,1/28/21,9:43 PM,a short cut to the chum bucket
Ayashe,Tom Holland,Actors,Smile,NA,1/28/21,9:48 PM,AHHHHH WOWWWW (hey oh hey baby i got your money)
Isabel,Anti Body Positivity,Miscellaneous,Annoyance,Thumbs Down,1/28/21,9:49 PM,original sound
Isabel,Job Searching,Miscellaneous,Laughter,HAHA,1/28/21,9:50 PM,Meet me Halway Black Eyed Peas
Isabel,GameStop/Hedgefund Drama,Miscellaneous,Laughter,HAHA,1/28/21,9:51 PM,Loud Metal Music
